"Passengerid","Age","Fare","Sex","sibsp","Parch","Pclass","Embarked","Survived","ZeroR","Age_Range","Fare_Range"
768,30.5,7.75,1,0,0,3,1,0,0,7,1
770,32,8.3625,0,0,0,3,2,0,0,7,1
774,28,7.225,0,0,0,3,0,0,0,6,1
775,54,23,1,1,3,2,2,1,0,11,1
776,18,7.75,0,0,0,3,2,0,0,4,1
777,28,7.75,0,0,0,3,1,0,0,6,1
778,5,12.475,1,0,0,3,2,1,0,1,1
779,28,7.7375,0,0,0,3,1,0,0,6,1
780,43,211.3375,1,0,1,1,2,1,0,9,5
782,17,57,1,1,0,1,2,1,0,4,2
783,29,30,0,0,0,1,2,0,0,6,1
784,28,23.45,0,1,2,3,2,0,0,6,1
785,25,7.05,0,0,0,3,2,0,0,5,1
786,25,7.25,0,0,0,3,2,0,0,5,1
788,8,29.125,0,4,1,3,1,0,0,2,1
790,46,79.2,0,0,0,1,0,0,0,10,2
792,16,26,0,0,0,2,2,0,0,4,1
793,28,69.55,1,8,2,3,2,0,0,6,2
794,28,30.6958,0,0,0,1,0,0,0,6,1
796,39,13,0,0,0,2,2,0,0,8,1
797,49,25.9292,1,0,0,1,2,1,0,10,1
799,30,7.2292,0,0,0,3,0,0,0,6,1
801,34,13,0,0,0,2,2,0,0,7,1
803,11,120,0,1,2,1,2,1,0,3,3
804,0.42,8.5167,0,0,1,3,0,1,0,1,1
805,27,6.975,0,0,0,3,2,1,0,6,1
806,31,7.775,0,0,0,3,2,0,0,7,1
807,39,0,0,0,0,1,2,0,0,8,NA
808,18,7.775,1,0,0,3,2,0,0,4,1
809,39,13,0,0,0,2,2,0,0,8,1
810,33,53.1,1,1,0,1,2,1,0,7,2
811,26,7.8875,0,0,0,3,2,0,0,6,1
812,39,24.15,0,0,0,3,2,0,0,8,1
814,6,31.275,1,4,2,3,2,0,0,2,1
815,30.5,8.05,0,0,0,3,2,0,0,7,1
816,28,0,0,0,0,1,2,0,0,6,NA
817,23,7.925,1,0,0,3,2,0,0,5,1
819,43,6.45,0,0,0,3,2,0,0,9,1
820,10,27.9,0,3,2,3,2,0,0,2,1
821,52,93.5,1,1,1,1,2,1,0,11,2
822,27,8.6625,0,0,0,3,2,1,0,6,1
823,38,0,0,0,0,1,2,0,0,8,NA
824,27,12.475,1,0,1,3,2,1,0,6,1
825,2,39.6875,0,4,1,3,2,0,0,1,1
827,28,56.4958,0,0,0,3,2,0,0,6,2
828,1,37.0042,0,0,2,2,0,1,0,1,1
829,28,7.75,0,0,0,3,1,1,0,6,1
830,62,80,1,0,0,1,NA,1,0,13,2
831,15,14.4542,1,1,0,3,0,1,0,3,1
835,18,8.3,0,0,0,3,2,0,0,4,1
836,39,83.1583,1,1,1,1,0,1,0,8,2
838,28,8.05,0,0,0,3,2,0,0,6,1
839,32,56.4958,0,0,0,3,2,1,0,7,2
840,28,29.7,0,0,0,1,0,1,0,6,1
841,20,7.925,0,0,0,3,2,0,0,4,1
842,16,10.5,0,0,0,2,2,0,0,4,1
843,30,31,1,0,0,1,0,1,0,6,1
844,34.5,6.4375,0,0,0,3,0,0,0,7,1
845,17,8.6625,0,0,0,3,2,0,0,4,1
847,28,69.55,0,8,2,3,2,0,0,6,2
851,4,31.275,0,4,2,3,2,0,0,1,1
854,16,39.4,1,0,1,1,2,1,0,4,1
855,44,26,1,1,0,2,2,0,0,9,1
856,18,9.35,1,0,1,3,2,1,0,4,1
857,45,164.8667,1,1,1,1,2,1,0,9,4
858,51,26.55,0,0,0,1,2,1,0,11,1
861,41,14.1083,0,2,0,3,2,0,0,9,1
862,21,11.5,0,1,0,2,2,0,0,5,1
863,48,25.9292,1,0,0,1,2,1,0,10,1
864,28,69.55,1,8,2,3,2,0,0,6,2
865,24,13,0,0,0,2,2,0,0,5,1
867,27,13.8583,1,1,0,2,0,1,0,6,1
869,28,9.5,0,0,0,3,2,0,0,6,1
870,4,11.1333,0,1,1,3,2,1,0,1,1
874,47,9,0,0,0,3,2,0,0,10,1
876,15,7.225,1,0,0,3,0,1,0,3,1
877,20,9.8458,0,0,0,3,2,0,0,4,1
878,19,7.8958,0,0,0,3,2,0,0,4,1
879,28,7.8958,0,0,0,3,2,0,0,6,1
880,56,83.1583,1,0,1,1,0,1,0,12,2
881,25,26,1,0,1,2,2,1,0,5,1
882,33,7.8958,0,0,0,3,2,0,0,7,1
883,22,10.5167,1,0,0,3,2,0,0,5,1
884,28,10.5,0,0,0,2,2,0,0,6,1
885,25,7.05,0,0,0,3,2,0,0,5,1
887,27,13,0,0,0,2,2,0,0,6,1
888,19,30,1,0,0,1,2,1,0,4,1
889,28,23.45,1,1,2,3,2,0,0,6,1
890,26,30,0,0,0,1,0,1,0,6,1
893,47,7,1,1,0,3,2,0,0,10,1
894,62,9.6875,0,0,0,2,1,0,0,13,1
895,27,8.6625,0,0,0,3,2,0,0,6,1
896,22,12.2875,1,1,1,3,2,0,0,5,1
897,14,9.225,0,0,0,3,2,0,0,3,1
898,30,7.6292,1,0,0,3,1,0,0,6,1
901,21,24.15,0,2,0,3,2,0,0,5,1
902,28,7.8958,0,0,0,3,2,0,0,6,1
904,23,82.2667,1,1,0,1,2,0,0,5,2
906,47,61.175,1,1,0,1,2,0,0,10,2
907,24,27.7208,1,1,0,2,0,0,0,5,1
908,35,12.35,0,0,0,2,1,0,0,7,1
910,27,7.925,1,1,0,3,2,0,0,6,1
911,45,7.225,1,0,0,3,0,0,0,9,1
912,55,59.4,0,1,0,1,0,0,0,11,2
913,9,3.1708,0,0,1,3,2,0,0,2,1
914,28,31.6833,1,0,0,1,2,0,0,6,1
915,21,61.3792,0,0,1,1,0,0,0,5,2
916,48,262.375,1,1,3,1,0,0,0,10,6
917,50,14.5,0,1,0,3,2,0,0,10,1
921,28,21.6792,0,2,0,3,0,0,0,6,1
922,50,26,0,1,0,2,2,0,0,10,1
923,24,31.5,0,2,0,2,2,0,0,5,1
924,33,20.575,1,1,2,3,2,0,0,7,1
925,28,23.45,1,1,2,3,2,0,0,6,1
926,30,57.75,0,1,0,1,0,0,0,6,2
928,28,8.05,1,0,0,3,2,0,0,6,1
929,21,8.6625,1,0,0,3,2,0,0,5,1
930,25,9.5,0,0,0,3,2,0,0,5,1
931,28,56.4958,0,0,0,3,2,0,0,6,2
933,28,26.55,0,0,0,1,2,0,0,6,1
934,41,7.85,0,0,0,3,2,0,0,9,1
935,30,13,1,0,0,2,2,0,0,6,1
936,45,52.5542,1,1,0,1,2,0,0,9,2
937,25,7.925,0,0,0,3,2,0,0,5,1
938,45,29.7,0,0,0,1,0,0,0,9,1
939,28,7.75,0,0,0,3,1,0,0,6,1
940,60,76.2917,1,0,0,1,0,0,0,12,2
942,24,60,0,1,0,1,2,0,0,5,2
945,28,263,1,3,2,1,2,0,0,6,6
946,28,15.5792,0,0,0,2,0,0,0,6,1
947,10,29.125,0,4,1,3,1,0,0,2,1
948,35,7.8958,0,0,0,3,2,0,0,7,1
949,25,7.65,0,0,0,3,2,0,0,5,1
950,28,16.1,0,1,0,3,2,0,0,6,1
953,32,13.5,0,0,0,2,2,0,0,7,1
956,13,262.375,0,2,2,1,0,0,0,3,6
958,18,7.8792,1,0,0,3,1,0,0,4,1
959,47,42.4,0,0,0,1,2,0,0,10,1
960,31,28.5375,0,0,0,1,0,0,0,7,1
961,60,263,1,1,4,1,2,0,0,12,6
962,24,7.75,1,0,0,3,1,0,0,5,1
965,28.5,27.7208,0,0,0,1,0,0,0,6,1
966,35,211.5,1,0,0,1,0,0,0,7,5
967,32.5,211.5,0,0,0,1,0,0,0,7,5
968,28,8.05,0,0,0,3,2,0,0,6,1
969,55,25.7,1,2,0,1,2,0,0,11,1
970,30,13,0,0,0,2,2,0,0,6,1
973,67,221.7792,0,1,0,1,2,0,0,14,5
975,28,7.8958,0,0,0,3,2,0,0,6,1
976,28,10.7083,0,0,0,2,1,0,0,6,1
978,27,7.8792,1,0,0,3,1,0,0,6,1
980,28,7.75,1,0,0,3,1,0,0,6,1
983,28,7.775,0,0,0,3,2,0,0,6,1
984,27,52,1,1,2,1,2,0,0,6,2
986,25,26,0,0,0,1,0,0,0,5,1
987,25,7.7958,0,0,0,3,2,0,0,5,1
989,29,7.925,0,0,0,3,2,0,0,6,1
990,20,7.8542,1,0,0,3,2,0,0,4,1
991,33,8.05,0,0,0,3,2,0,0,7,1
992,43,55.4417,1,1,0,1,0,0,0,9,2
994,28,7.75,0,0,0,3,1,0,0,6,1
995,26,7.775,0,0,0,3,2,0,0,6,1
996,16,8.5167,1,1,1,3,0,0,0,4,1
998,21,7.8208,0,0,0,3,1,0,0,5,1
1000,28,8.7125,0,0,0,3,2,0,0,6,1
1002,41,15.0458,0,0,0,2,0,0,0,9,1
1003,28,7.7792,1,0,0,3,1,0,0,6,1
1004,36,31.6792,1,0,0,1,0,0,0,8,1
1006,63,221.7792,1,1,0,1,2,0,0,13,5
1007,18,14.4542,0,1,0,3,0,0,0,4,1
1008,28,6.4375,0,0,0,3,0,0,0,6,1
1011,29,26,1,1,0,2,2,0,0,6,1
1013,28,7.75,0,1,0,3,1,0,0,6,1
1014,35,57.75,1,1,0,1,0,0,0,7,2
1015,28,7.25,0,0,0,3,2,0,0,6,1
1016,28,7.75,0,0,0,3,1,0,0,6,1
1017,17,16.1,1,0,1,3,2,0,0,4,1
1018,22,7.7958,0,0,0,3,2,0,0,5,1
1019,28,23.25,1,2,0,3,1,0,0,6,1
1021,24,8.05,0,0,0,3,2,0,0,5,1
1022,32,8.05,0,0,0,3,2,0,0,7,1
1023,53,28.5,0,0,0,1,0,0,0,11,1
1025,28,6.4375,0,1,0,3,0,0,0,6,1
1026,43,7.8958,0,0,0,3,2,0,0,9,1
1028,26.5,7.225,0,0,0,3,0,0,0,6,1
1029,26,13,0,0,0,2,2,0,0,6,1
1030,23,8.05,1,0,0,3,2,0,0,5,1
1031,40,46.9,0,1,6,3,2,0,0,8,1
1033,33,151.55,1,0,0,1,2,0,0,7,4
1035,28,26,0,0,0,2,2,0,0,6,1
1036,42,26.55,0,0,0,1,2,0,0,9,1
1037,31,18,0,3,0,3,2,0,0,7,1
1038,28,51.8625,0,0,0,1,2,0,0,6,2
1040,28,26.55,0,0,0,1,2,0,0,6,1
1042,23,83.1583,1,0,1,1,0,0,0,5,2
1043,28,7.8958,0,0,0,3,0,0,0,6,1
1046,13,31.3875,0,4,2,3,2,0,0,3,1
1047,24,7.55,0,0,0,3,2,0,0,5,1
1048,29,221.7792,1,0,0,1,2,0,0,6,5
1049,23,7.8542,1,0,0,3,2,0,0,5,1
1051,26,13.775,1,0,2,3,2,0,0,6,1
1053,7,15.2458,0,1,1,3,0,0,0,2,1
1054,26,13.5,1,0,0,2,2,0,0,6,1
1055,28,7,0,0,0,3,2,0,0,6,1
1056,41,13,0,0,0,2,2,0,0,9,1
1057,26,22.025,1,1,1,3,2,0,0,6,1
1059,18,34.375,0,2,2,3,2,0,0,4,1
1061,22,8.9625,1,0,0,3,2,0,0,5,1
1062,28,7.55,0,0,0,3,2,0,0,6,1
1064,23,13.9,0,1,0,3,2,0,0,5,1
1065,28,7.2292,0,0,0,3,0,0,0,6,1
1068,20,36.75,1,0,0,2,2,0,0,4,1
1069,54,55.4417,0,1,0,1,0,0,0,11,2
1070,36,39,1,0,3,2,2,0,0,8,1
1071,64,83.1583,1,0,2,1,0,0,0,13,2
1072,30,13,0,0,0,2,2,0,0,6,1
1073,37,83.1583,0,1,1,1,0,0,0,8,2
1074,18,53.1,1,1,0,1,2,0,0,4,2
1075,28,7.75,0,0,0,3,1,0,0,6,1
1076,27,247.5208,1,1,1,1,0,0,0,6,5
1077,40,16,0,0,0,2,2,0,0,8,1
1078,21,21,1,0,1,2,2,0,0,5,1
1079,17,8.05,0,2,0,3,2,0,0,4,1
1080,28,69.55,1,8,2,3,2,0,0,6,2
1081,40,13,0,0,0,2,2,0,0,8,1
1084,11.5,14.5,0,1,1,3,2,0,0,3,1
1085,61,12.35,0,0,0,2,1,0,0,13,1
1086,8,32.5,0,0,2,2,2,0,0,2,1
1087,33,7.8542,0,0,0,3,2,0,0,7,1
1088,6,134.5,0,0,2,1,0,0,0,2,3
1089,18,7.775,1,0,0,3,2,0,0,4,1
1090,23,10.5,0,0,0,2,2,0,0,5,1
1091,28,8.1125,1,0,0,3,2,0,0,6,1
1092,28,15.5,1,0,0,3,1,0,0,6,1
1093,0.33,14.4,0,0,2,3,2,0,0,1,1
1094,47,227.525,0,1,0,1,0,0,0,10,5
1095,8,26,1,1,1,2,2,0,0,2,1
1096,25,10.5,0,0,0,2,2,0,0,5,1
1100,33,27.7208,1,0,0,1,0,0,0,7,1
1101,25,7.8958,0,0,0,3,2,0,0,5,1
1102,32,22.525,0,0,0,3,2,0,0,7,1
1103,28,7.05,0,0,0,3,2,0,0,6,1
1104,17,73.5,0,0,0,2,2,0,0,4,2
1105,60,26,1,1,0,2,2,0,0,12,1
1106,38,7.775,1,4,2,3,2,0,0,8,1
1107,42,42.5,0,0,0,1,2,0,0,9,1
1108,28,7.8792,1,0,0,3,1,0,0,6,1
1109,57,164.8667,0,1,1,1,2,0,0,12,4
1110,50,211.5,1,1,1,1,0,0,0,10,5
1112,30,13.8583,1,1,0,2,0,0,0,6,1
1113,21,8.05,0,0,0,3,2,0,0,5,1
1115,21,7.7958,0,0,0,3,2,0,0,5,1
1118,23,7.7958,0,0,0,3,2,0,0,5,1
1120,40.5,15.1,0,0,0,3,2,0,0,9,1
1121,36,13,0,0,0,2,2,0,0,8,1
1123,21,26.55,1,0,0,1,2,0,0,5,1
1125,28,7.8792,0,0,0,3,1,0,0,6,1
1126,39,71.2833,0,1,0,1,0,0,0,8,2
1127,20,7.8542,0,0,0,3,2,0,0,4,1
1128,64,75.25,0,1,0,1,0,0,0,13,2
1130,18,13,1,1,1,2,2,0,0,4,1
1133,45,30,1,0,2,2,2,0,0,9,1
1134,45,134.5,0,1,1,1,0,0,0,9,3
1135,28,7.8875,0,0,0,3,2,0,0,6,1
1136,28,23.45,0,1,2,3,2,0,0,6,1
1138,22,21,1,0,0,2,2,0,0,5,1
1139,42,32.5,0,1,1,2,2,0,0,9,1
1141,28,14.4542,1,1,0,3,0,0,0,6,1
1142,0.92,27.75,1,1,2,2,2,0,0,1,1
1143,20,7.925,0,0,0,3,2,0,0,4,1
1145,24,9.325,0,0,0,3,2,0,0,5,1
1146,32.5,9.5,0,0,0,3,2,0,0,7,1
1147,28,7.55,0,0,0,3,2,0,0,6,1
1148,28,7.75,0,0,0,3,1,0,0,6,1
1149,28,8.05,0,0,0,3,2,0,0,6,1
1150,19,13,1,0,0,2,2,0,0,4,1
1151,21,7.775,0,0,0,3,2,0,0,5,1
1152,36.5,17.4,0,1,0,3,2,0,0,8,1
1153,21,7.8542,0,0,0,3,2,0,0,5,1
1154,29,23,1,0,2,2,2,0,0,6,1
1155,1,12.1833,1,1,1,3,2,0,0,1,1
1156,30,12.7375,0,0,0,2,0,0,0,6,1
1157,28,7.8958,0,0,0,3,2,0,0,6,1
1158,28,0,0,0,0,1,2,0,0,6,NA
1159,28,7.55,0,0,0,3,2,0,0,6,1
1160,28,8.05,1,0,0,3,2,0,0,6,1
1161,17,8.6625,0,0,0,3,2,0,0,4,1
1163,28,7.75,0,0,0,3,1,0,0,6,1
1164,26,136.7792,1,1,0,1,0,0,0,6,3
1165,28,15.5,1,1,0,3,1,0,0,6,1
1167,20,26,1,1,0,2,2,0,0,4,1
1168,28,10.5,0,0,0,2,2,0,0,6,1
1170,30,21,0,1,0,2,2,0,0,6,1
1171,22,10.5,0,0,0,2,2,0,0,5,1
1172,23,8.6625,1,0,0,3,2,0,0,5,1
1173,0.75,13.775,0,1,1,3,2,0,0,1,1
1174,28,7.75,1,0,0,3,1,0,0,6,1
1177,36,7.25,0,0,0,3,2,0,0,8,1
1178,28,7.25,0,0,0,3,2,0,0,6,1
1179,24,82.2667,0,1,0,1,2,0,0,5,2
1180,28,7.2292,0,0,0,3,0,0,0,6,1
1181,28,8.05,0,0,0,3,2,0,0,6,1
1182,28,39.6,0,0,0,1,2,0,0,6,1
1185,53,81.8583,0,1,1,1,2,0,0,11,2
1186,36,9.5,0,0,0,3,2,0,0,8,1
1188,1,41.5792,1,1,2,2,0,0,0,1,1
1189,28,21.6792,0,2,0,3,0,0,0,6,1
1190,30,45.5,0,0,0,1,2,0,0,6,1
1191,29,7.8542,0,0,0,3,2,0,0,6,1
1192,32,7.775,0,0,0,3,2,0,0,7,1
1193,28,15.0458,0,0,0,2,0,0,0,6,1
1194,43,21,0,0,1,2,2,0,0,9,1
1196,28,7.75,1,0,0,3,1,0,0,6,1
1197,64,26.55,1,1,1,1,2,0,0,13,1
1198,30,151.55,0,1,2,1,2,0,0,6,4
1199,0.83,9.35,0,0,1,3,2,0,0,1,1
1200,55,93.5,0,1,1,1,2,0,0,11,2
1201,45,14.1083,1,1,0,3,2,0,0,9,1
1202,18,8.6625,0,0,0,3,2,0,0,4,1
1204,28,7.575,0,0,0,3,2,0,0,6,1
1205,37,7.75,1,0,0,3,1,0,0,8,1
1209,19,10.5,0,0,0,2,2,0,0,4,1
1211,22,31.5,0,2,0,2,2,0,0,5,1
1212,26,7.775,0,0,0,3,2,0,0,6,1
1214,26,13,0,0,0,2,2,0,0,6,1
1217,23,7.05,0,0,0,3,2,0,0,5,1
1220,29,26,0,1,0,2,2,0,0,6,1
1221,21,13,0,0,0,2,2,0,0,5,1
1223,39,29.7,0,0,0,1,0,0,0,8,1
1224,28,7.225,0,0,0,3,0,0,0,6,1
1225,19,15.7417,1,1,1,3,0,0,0,4,1
1226,27,7.8958,0,0,0,3,2,0,0,6,1
1227,30,26,0,0,0,1,2,0,0,6,1
1228,32,13,0,0,0,2,2,0,0,7,1
1229,39,7.2292,0,0,2,3,0,0,0,8,1
1231,28,7.2292,0,0,0,3,0,0,0,6,1
1232,18,10.5,0,0,0,2,2,0,0,4,1
1235,58,512.3292,1,0,1,1,0,0,0,12,11
1237,16,7.65,1,0,0,3,2,0,0,4,1
1238,26,13,0,0,0,2,2,0,0,6,1
1239,38,7.2292,1,0,0,3,0,0,0,8,1
1240,24,13.5,0,0,0,2,2,0,0,5,1
1242,45,63.3583,1,0,1,1,0,0,0,9,2
1243,25,10.5,0,0,0,2,2,0,0,5,1
1244,18,73.5,0,0,0,2,2,0,0,4,2
1245,49,65,0,1,2,2,2,0,0,10,2
1246,0.17,20.575,1,1,2,3,2,0,0,1,1
1247,50,26,0,0,0,1,2,0,0,10,1
1248,59,51.4792,1,2,0,1,2,0,0,12,2
1252,14.5,69.55,0,8,2,3,2,0,0,3,2
1253,24,37.0042,1,1,1,2,0,0,0,5,1
1255,27,8.6625,0,0,0,3,2,0,0,6,1
1256,25,55.4417,1,1,0,1,0,0,0,5,2
1258,28,14.4583,0,1,0,3,0,0,0,6,1
1259,22,39.6875,1,0,0,3,2,0,0,5,1
1262,21,11.5,0,1,0,2,2,0,0,5,1
1265,44,13,0,0,0,2,2,0,0,9,1
1266,54,81.8583,1,1,1,1,2,0,0,11,2
1267,45,262.375,1,0,0,1,0,0,0,9,6
1268,22,8.6625,1,2,0,3,2,0,0,5,1
1269,21,11.5,0,0,0,2,2,0,0,5,1
1270,55,50,0,0,0,1,2,0,0,11,1
1271,5,31.3875,0,4,2,3,2,0,0,1,1
1272,28,7.75,0,0,0,3,1,0,0,6,1
1273,26,7.8792,0,0,0,3,1,0,0,6,1
1274,28,14.5,1,0,0,3,2,0,0,6,1
1275,19,16.1,1,1,0,3,2,0,0,4,1
1276,28,12.875,0,0,0,2,2,0,0,6,1
1277,24,65,1,1,2,2,2,0,0,5,2
1281,6,21.075,0,3,1,3,2,0,0,2,1
1282,23,93.5,0,0,0,1,2,0,0,5,2
1283,51,39.4,1,0,1,1,2,0,0,11,1
1284,13,20.25,0,0,2,3,2,0,0,3,1
1285,47,10.5,0,0,0,2,2,0,0,10,1
1286,29,22.025,0,3,1,3,2,0,0,6,1
1287,18,60,1,1,0,1,2,0,0,4,2
1288,24,7.25,0,0,0,3,1,0,0,5,1
1289,48,79.2,1,1,1,1,0,0,0,10,2
1290,22,7.775,0,0,0,3,2,0,0,5,1
1291,31,7.7333,0,0,0,3,1,0,0,7,1
1292,30,164.8667,1,0,0,1,2,0,0,6,4
1293,38,21,0,1,0,2,2,0,0,8,1
1295,17,47.1,0,0,0,1,2,0,0,4,1
1297,20,13.8625,0,0,0,2,0,0,0,4,1
1298,23,10.5,0,1,0,2,2,0,0,5,1
1299,50,211.5,0,1,1,1,0,0,0,10,5
1300,28,7.7208,1,0,0,3,1,0,0,6,1
1301,3,13.775,1,1,1,3,2,0,0,1,1
1303,37,90,1,1,0,1,1,0,0,8,2
1304,28,7.775,1,0,0,3,2,0,0,6,1
1305,28,8.05,0,0,0,3,2,0,0,6,1
1307,38.5,7.25,0,0,0,3,2,0,0,8,1
1308,28,8.05,0,0,0,3,2,0,0,6,1
1309,28,22.3583,0,1,1,3,0,0,0,6,1
